index,Aq_sp_Aq107,Aq_sp_Aq135,Aq_sp_Aq349
PF10417.10,0.013017443374121324,0.03018867924528302,0.03487155643380216
PF00389.31,0.0650872168706066,0.045283018867924525,0.03487155643380216
PF02826.20,0.14319187711533454,0.10566037735849057,0.09299081715680577
PF00198.24,0.0520697734964853,0.06037735849056604,0.04649540857840288
PF16078.6,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF05635.12,0.02603488674824265,0.01509433962264151,0.01162385214460072
PF03171.21,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF13532.7,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF13640.7,0.03905233012236397,0.03018867924528302,0.02324770428920144
PF13239.7,0.09112210361884926,0.06037735849056604,0.04649540857840288
PF06052.13,0.013017443374121324,0.03018867924528302,0.01162385214460072
PF01073.20,0.15620932048945588,0.1660377358490566,0.13948622573520864
PF00725.23,0.03905233012236397,0.045283018867924525,0.03487155643380216
PF02737.19,0.03905233012236397,0.045283018867924525,0.03487155643380216
PF03061.23,0.1301744337412132,0.1509433962264151,0.13948622573520864
PF13279.7,0.0520697734964853,0.07547169811320754,0.06974311286760432
PF01812.21,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF09038.11,0.0,0.01509433962264151,0.0
PF01367.21,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF02739.17,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF02872.19,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF02096.21,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF07698.12,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF07696.12,0.0,0.03018867924528302,0.01162385214460072
PF07695.12,0.013017443374121324,0.03018867924528302,0.02324770428920144
PF07697.12,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF14402.7,0.0,0.01509433962264151,0.01162385214460072
PF00207.23,0.02603488674824265,0.03018867924528302,0.02324770428920144
PF07703.15,0.02603488674824265,0.03018867924528302,0.02324770428920144
PF00004.30,0.2733663108565478,0.27169811320754716,0.19760548645821224
PF12846.8,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF13173.7,0.0650872168706066,0.12075471698113208,0.06974311286760432
PF13175.7,0.07810466024472794,0.07547169811320754,0.1162385214460072
PF13191.7,0.1301744337412132,0.1660377358490566,0.09299081715680577
PF13207.7,0.013017443374121324,0.03018867924528302,0.01162385214460072
PF13238.7,0.1692267638635772,0.21132075471698114,0.1162385214460072
PF13245.7,0.07810466024472794,0.06037735849056604,0.0581192607230036
PF07724.15,0.0650872168706066,0.06037735849056604,0.03487155643380216
PF13304.7,0.44259307472012493,0.39245283018867927,0.499825642217831
PF13401.7,0.1171569903670919,0.19622641509433963,0.13948622573520864
PF13476.7,0.07810466024472794,0.06037735849056604,0.10461466930140649
PF13479.7,0.0520697734964853,0.03018867924528302,0.02324770428920144
PF13481.7,0.03905233012236397,0.045283018867924525,0.03487155643380216
PF13500.7,0.0520697734964853,0.06037735849056604,0.04649540857840288
PF13514.7,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF13521.7,0.03905233012236397,0.06037735849056604,0.03487155643380216
PF13555.7,0.1301744337412132,0.12075471698113208,0.09299081715680577
PF07726.12,0.0520697734964853,0.06037735849056604,0.04649540857840288
PF13604.7,0.0650872168706066,0.06037735849056604,0.04649540857840288
PF13614.7,0.03905233012236397,0.045283018867924525,0.04649540857840288
PF13671.7,0.0520697734964853,0.03018867924528302,0.03487155643380216
PF07728.15,0.2733663108565478,0.3018867924528302,0.22085319074741366
PF12775.8,0.0520697734964853,0.045283018867924525,0.02324770428920144
PF16193.6,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF17863.2,0.0650872168706066,0.06037735849056604,0.0581192607230036
PF17862.2,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF17864.2,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF17866.2,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF17871.2,0.03905233012236397,0.045283018867924525,0.02324770428920144
PF08298.12,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF03417.17,0.013017443374121324,0.01509433962264151,0.01162385214460072
PF00696.29,0.09112210361884926,0.10566037735849057,0.06974311286760432
PF00324.22,0.0,0.01509433962264151,0.0
PF13520.7,0.0,0.01509433962264151,0.0
PF00950.18,0.02603488674824265,0.03018867924528302,0.02324770428920144
PF03109.17,0.013017443374121324,0.01509433962264151,0.0
