index,Aq_sp_Aq107,Aq_sp_Aq135,Aq_sp_Aq349
K14742,0.008512087163772556,0.009793360101850945,0.0
K13888,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02003,0.034048348655090224,0.03917344040740378,0.030632562413845914
K02276,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02257,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02437,0.008512087163772556,0.009793360101850945,0.015316281206922957
K03550,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00939,0.0,0.009793360101850945,0.0
K00029,0.008512087163772556,0.009793360101850945,0.007658140603461479
K18979,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03551,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02274,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02600,0.0,0.009793360101850945,0.007658140603461479
K05939,0.0,0.009793360101850945,0.0
K22278,0.017024174327545112,0.009793360101850945,0.007658140603461479
K02335,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02871,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02996,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02357,0.008512087163772556,0.009793360101850945,0.007658140603461479
K09903,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02838,0.008512087163772556,0.009793360101850945,0.007658140603461479
K01893,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03781,0.0,0.009793360101850945,0.0
K02477,0.12768130745658834,0.1273136813240623,0.2756930617246133
K07683,0.02553626149131767,0.01958672020370189,0.015316281206922957
K07692,0.034048348655090224,0.029380080305552836,0.0382907030173074
K03092,0.008512087163772556,0.009793360101850945,0.007658140603461479
K01424,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03424,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03817,0.0,0.01958672020370189,0.007658140603461479
K00826,0.017024174327545112,0.01958672020370189,0.015316281206922957
K00627,0.0,0.009793360101850945,0.0
K02618,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00632,0.008512087163772556,0.01958672020370189,0.015316281206922957
K02614,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00074,0.017024174327545112,0.01958672020370189,0.015316281206922957
K15866,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02612,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02611,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02610,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02609,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02613,0.017024174327545112,0.029380080305552836,0.015316281206922957
K22108,0.008512087163772556,0.01958672020370189,0.007658140603461479
K01337,0.008512087163772556,0.009793360101850945,0.0
K01872,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03744,0.0,0.01958672020370189,0.007658140603461479
K03977,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03595,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03310,0.017024174327545112,0.01958672020370189,0.02297442181038444
K00059,0.042560435818862784,0.05876016061110567,0.0382907030173074
K00647,0.017024174327545112,0.01958672020370189,0.015316281206922957
K02078,0.017024174327545112,0.01958672020370189,0.007658140603461479
K00648,0.034048348655090224,0.029380080305552836,0.02297442181038444
K01990,0.034048348655090224,0.029380080305552836,0.06126512482769183
K01992,0.017024174327545112,0.01958672020370189,0.02297442181038444
K21460,0.0,0.009793360101850945,0.0
K09458,0.034048348655090224,0.03917344040740378,0.04594884362076888
K01912,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03088,0.2383384405856316,0.18607384193516796,0.2374023587073059
K11355,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03733,0.008512087163772556,0.01958672020370189,0.007658140603461479
K02014,0.008512087163772556,0.04896680050925472,0.030632562413845914
K01467,0.008512087163772556,0.009793360101850945,0.0
K07696,0.042560435818862784,0.03917344040740378,0.04594884362076888
K13730,0.0,0.009793360101850945,0.0
K08676,0.008512087163772556,0.01958672020370189,0.02297442181038444
K09117,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03590,0.008512087163772556,0.009793360101850945,0.007658140603461479
K02563,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03588,0.008512087163772556,0.009793360101850945,0.007658140603461479
K01925,0.008512087163772556,0.009793360101850945,0.007658140603461479
K01000,0.008512087163772556,0.009793360101850945,0.007658140603461479
K01928,0.008512087163772556,0.009793360101850945,0.007658140603461479
K08384,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03438,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03925,0.008512087163772556,0.009793360101850945,0.007658140603461479
K16050,0.008512087163772556,0.009793360101850945,0.007658140603461479
K03978,0.008512087163772556,0.009793360101850945,0.0
K06941,0.008512087163772556,0.009793360101850945,0.007658140603461479
K07568,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00800,0.008512087163772556,0.009793360101850945,0.007658140603461479
K06949,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00220,0.008512087163772556,0.009793360101850945,0.007658140603461479
K10206,0.008512087163772556,0.009793360101850945,0.007658140603461479
K14170,0.008512087163772556,0.009793360101850945,0.007658140603461479
K00639,0.017024174327545112,0.01958672020370189,0.015316281206922957
